id,neighborhood,year_built,sale_price,total_living_area,bldg_type,full_baths,bedrooms,lot_area,garage_type,bsmt_area,house_condition,zone,building_coverage
63,NridgHt,2006,202500,1370,TwnhsE,2,2,6442,Attchd,1370,5,RL,0.21266687364172618
64,OldTown,1921,140000,1710,1Fam,2,3,10300,Detchd,576,6,RM,0.05592233009708738
65,CollgCr,1997,219500,2034,1Fam,2,3,9375,Attchd,1057,5,RL,0.11274666666666666
66,NridgHt,2004,317000,2473,1Fam,2,4,9591,BuiltIn,1143,5,RL,0.11917422583672192
67,NAmes,1970,180000,2207,1Fam,2,3,19900,Attchd,1947,5,RL,0.0978391959798995
68,CollgCr,2003,226000,1479,1Fam,2,3,10665,Attchd,1453,5,RL,0.13624003750586028
69,OldTown,1945,80000,747,1Fam,1,2,4608,Attchd,747,6,RM,0.162109375
70,ClearCr,1953,225000,2287,1Fam,2,3,15593,Attchd,1304,4,RL,0.08362726864618739
71,NAmes,1973,244000,2223,1Fam,2,3,13651,Attchd,2223,6,RL,0.16284521280492273
72,Mitchel,1982,129500,845,1Fam,1,2,7599,Detchd,845,6,RL,0.11119884195288854
73,Gilbert,1998,185000,1718,1Fam,2,3,10141,Attchd,832,5,RL,0.08204319100680406
74,NAmes,1954,144900,1086,1Fam,1,3,10200,Attchd,1086,7,RL,0.10647058823529412
75,OldTown,1915,107400,1605,1Fam,2,3,5790,Detchd,840,6,RM,0.14507772020725387
76,MeadowV,1973,91000,988,Twnhs,1,2,1596,BuiltIn,462,5,RM,0.2894736842105263
77,NAmes,1956,135750,952,1Fam,1,2,8475,Detchd,952,7,RL,0.11233038348082595
78,BrkSide,1948,127000,1285,1Fam,1,2,8635,Detchd,672,5,RM,0.07782281412854661
80,OldTown,1910,110000,1230,1Fam,1,2,10440,Detchd,440,6,RM,0.0421455938697318
81,NAmes,1968,193500,2142,1Fam,2,4,13000,Attchd,896,6,RL,0.06892307692307692
82,Mitchel,1998,153500,1337,TwnhsE,2,2,4500,Attchd,1237,5,RM,0.2748888888888889
83,Somerst,2007,245000,1563,1Fam,2,3,10206,Attchd,1563,5,RL,0.15314520870076426
84,NAmes,1960,126500,1065,1Fam,1,3,8892,Detchd,1065,5,RL,0.11977058029689609
85,Gilbert,1995,168500,1474,1Fam,2,3,8530,BuiltIn,384,5,RL,0.045017584994138334
86,NoRidge,1991,260000,2417,1Fam,2,4,16059,Attchd,1288,5,RL,0.08020424683977832
87,Gilbert,2005,174000,1560,1Fam,2,3,11911,BuiltIn,684,5,RL,0.057425908823776343
88,Somerst,2009,164500,1224,TwnhsE,2,2,3951,Detchd,612,5,FV,0.1548974943052392
92,NAmes,1961,98600,1235,1Fam,1,2,8500,Attchd,1235,3,RL,0.14529411764705882
93,Crawfor,1921,163500,964,1Fam,1,2,13360,Detchd,876,7,RL,0.0655688622754491
94,OldTown,1910,133900,2291,2fmCon,2,4,7200,Detchd,1214,6,C (all),0.1686111111111111
95,CollgCr,1997,204750,1786,1Fam,2,3,9337,Attchd,824,5,RL,0.0882510442326229
96,Gilbert,1993,185000,1470,1Fam,2,3,9765,BuiltIn,680,8,RL,0.06963645673323093
97,CollgCr,1999,214000,1588,1Fam,2,3,10264,Attchd,1588,5,RL,0.15471551052221355
98,Edwards,1965,94750,960,1Fam,1,3,10921,Attchd,960,5,RL,0.08790403809174983
99,Edwards,1920,83000,835,1Fam,1,2,10625,Basment,458,5,RL,0.043105882352941174
101,NWAmes,1977,205000,1610,1Fam,2,3,10603,Attchd,1610,7,RL,0.15184381778741865
102,SawyerW,1985,178000,1732,1Fam,2,3,9206,Attchd,741,5,RL,0.08049098414077775
104,CollgCr,2009,198900,1226,1Fam,2,3,10402,Attchd,1226,5,RL,0.1178619496250721
105,IDOTRR,1931,169500,1818,1Fam,1,4,7758,Detchd,1040,4,RM,0.13405516885795307
106,Somerst,2003,250000,1992,1Fam,2,3,9375,Attchd,1053,5,FV,0.11232
107,OldTown,1885,100000,1047,1Fam,1,2,10800,Detchd,641,7,RM,0.05935185185185185
108,OldTown,1948,115000,789,1Fam,1,2,6000,Detchd,789,5,RM,0.1315
110,NWAmes,1977,190000,1844,1Fam,2,3,11751,Attchd,1844,6,RL,0.1569228150795677
111,Edwards,1954,136900,1855,1Fam,2,4,9525,Attchd,994,4,RL,0.10435695538057743
112,Gilbert,2000,180000,1430,1Fam,2,3,7750,BuiltIn,384,5,RL,0.04954838709677419
113,CollgCr,2007,383970,2696,1Fam,2,4,9965,BuiltIn,1264,5,RL,0.12684395383843453
114,Crawfor,1953,217000,2259,1Fam,2,3,21000,Basment,1809,5,RL,0.08614285714285715
115,Crawfor,1945,259500,2320,1Fam,2,3,7259,Detchd,1028,8,RL,0.14161730265876843
116,Somerst,1999,176000,1458,TwnhsE,2,2,3230,Detchd,729,5,FV,0.22569659442724457
117,Sawyer,1962,139000,1092,1Fam,1,3,11616,Attchd,1092,5,RL,0.09400826446280992
118,Edwards,2006,155000,1125,1Fam,1,2,8536,Attchd,1125,5,RL,0.13179475164011248
119,SawyerW,1990,320000,3222,1Fam,3,5,12376,Attchd,1673,5,RL,0.1351809954751131
120,CollgCr,2005,163990,1456,1Fam,2,3,8461,Attchd,728,5,RL,0.08604183902611984
121,ClearCr,1969,180000,988,1Fam,1,1,21453,Attchd,938,5,RL,0.04372348855637906
122,IDOTRR,1939,100000,1123,1Fam,1,3,6060,Detchd,732,5,RM,0.12079207920792079
123,NAmes,1958,136000,1080,1Fam,1,3,9464,Attchd,1080,7,RL,0.11411665257819104
124,SawyerW,1993,153900,1199,TwnhsE,2,2,7892,Attchd,1199,5,RL,0.15192600101368475
125,NWAmes,1979,181000,1586,1Fam,2,3,17043,Attchd,1362,5,RL,0.07991550783312797
127,NPkVill,1976,128000,958,TwnhsE,2,2,4928,Attchd,1078,5,RL,0.21875
129,NAmes,1966,155000,1348,1Fam,1,3,7590,Attchd,660,5,RL,0.08695652173913043
130,NAmes,1958,150000,1053,1Fam,1,3,8973,2Types,1008,7,RL,0.1123370110330993
131,NAmes,1966,226000,2157,1Fam,2,4,14200,Attchd,924,6,RL,0.06507042253521127
132,Gilbert,2000,244000,2054,1Fam,2,3,12224,BuiltIn,992,5,RL,0.08115183246073299
133,NAmes,1959,150750,1327,1Fam,1,3,7388,Detchd,1063,6,RL,0.14388197076340012
134,Timber,2001,220000,1296,1Fam,2,2,6853,Attchd,1267,5,RL,0.18488253319713993
135,Sawyer,1968,180000,1721,1Fam,2,3,10335,Attchd,1461,6,RL,0.1413642960812772
136,NWAmes,1970,174000,1682,1Fam,2,3,10400,Attchd,1304,6,RL,0.12538461538461537
137,NAmes,1967,143000,1214,1Fam,2,3,10355,Attchd,1214,5,RL,0.11723804925156929
138,Mitchel,1988,171000,1959,Duplex,3,5,11070,2Types,1907,5,RL,0.17226738934056007
139,CollgCr,1999,230000,1852,1Fam,2,3,9066,Attchd,1004,5,RL,0.11074343701742775
140,CollgCr,1997,231500,1764,1Fam,2,3,15426,Attchd,928,5,RL,0.06015817451056658
142,CollgCr,2005,260000,1734,1Fam,2,3,11645,Attchd,1734,5,RL,0.14890510948905109
143,NAmes,1952,166000,1385,1Fam,2,4,8520,Detchd,910,4,RL,0.1068075117370892
144,CollgCr,1999,204000,1501,1Fam,2,3,10335,Attchd,1490,5,RL,0.14417029511369134
145,Sawyer,1963,125000,1728,Duplex,2,6,9100,Detchd,1728,5,RM,0.1898901098901099
146,Edwards,2004,130000,1709,Twnhs,2,3,2522,Detchd,970,5,RM,0.38461538461538464
147,BrkSide,1931,105000,875,1Fam,1,2,6120,Detchd,715,7,RM,0.11683006535947713
148,Gilbert,2001,222500,2035,1Fam,2,3,9505,BuiltIn,884,5,RL,0.09300368227248816
150,BrkSide,1936,115000,1344,1Fam,1,3,6240,Detchd,896,4,RM,0.14358974358974358
151,CollgCr,1975,122000,969,1Fam,1,3,10356,Attchd,969,6,RL,0.09356894553881807
152,NridgHt,2007,372402,1710,1Fam,2,2,13891,Attchd,1710,5,RL,0.12310128860413218
153,NWAmes,1971,190000,1993,1Fam,2,4,14803,Attchd,825,5,RL,0.05573194622711612
154,ClearCr,1960,235000,1252,1Fam,1,1,13500,Attchd,1602,7,RL,0.11866666666666667
155,OldTown,1923,125000,1200,1Fam,1,4,11340,Detchd,1200,5,RM,0.10582010582010581
158,Timber,2009,269500,1968,1Fam,2,4,12003,BuiltIn,774,5,RL,0.06448387903024244
159,Somerst,2004,254900,1947,1Fam,2,3,12552,Attchd,991,5,FV,0.07895156150414277
160,Gilbert,2005,320000,2462,1Fam,2,4,19378,Attchd,1392,5,RL,0.07183403860047477
161,Veenker,1984,162500,1232,1Fam,2,3,11120,Attchd,1232,6,RL,0.11079136690647481
162,NridgHt,2003,412500,2668,1Fam,2,3,13688,BuiltIn,1572,5,RL,0.11484511981297486
163,NridgHt,2005,220000,1541,1Fam,2,3,12182,Attchd,1541,5,RL,0.12649811196847807
165,OldTown,1926,152000,1616,1Fam,2,3,5400,Detchd,1149,7,RM,0.2127777777777778
167,ClearCr,1955,190000,1867,1Fam,1,2,10708,Attchd,1617,5,RL,0.15100859170713485
168,NridgHt,2007,325624,2161,1Fam,1,3,10562,Attchd,1582,5,RL,0.14978223821245976
169,Gilbert,2004,183500,1720,1Fam,2,3,8244,Attchd,840,5,RL,0.10189228529839883
170,Timber,1981,228000,1707,1Fam,2,2,16669,Attchd,1686,6,RL,0.10114583958245846
171,OldTown,1941,128500,1382,1Fam,1,2,12358,Detchd,720,6,RM,0.0582618546690403
173,StoneBr,1987,239000,1767,TwnhsE,2,2,5306,Attchd,1064,7,RL,0.20052770448548812
174,NAmes,1961,163000,1362,1Fam,1,3,10197,Attchd,1362,5,RL,0.1335686966754928
175,Timber,1986,184000,1651,1Fam,2,3,12416,Attchd,1606,5,RL,0.12934922680412372
176,Edwards,1950,243000,2158,1Fam,2,4,12615,Attchd,1202,7,RL,0.09528339278636544
177,ClearCr,1988,211000,2060,1Fam,2,4,10029,Attchd,1151,5,RL,0.11476717519194336
178,Sawyer,1958,172500,1920,1Fam,2,4,13650,Attchd,1052,5,RL,0.07706959706959707
179,StoneBr,2008,501837,2234,1Fam,2,1,17423,Attchd,2216,5,RL,0.1271881995063996
180,OldTown,1923,100000,968,1Fam,1,2,8520,Detchd,968,6,RM,0.1136150234741784
181,Somerst,2000,177000,1525,Twnhs,2,3,2117,Detchd,756,5,FV,0.35710911667453943
182,Crawfor,1920,200100,1802,1Fam,1,4,7588,Detchd,793,6,RL,0.10450711649973643
184,OldTown,2003,200000,2082,1Fam,2,3,11426,Detchd,1362,5,RM,0.11920182040959215
185,BrkSide,1908,127000,1252,1Fam,1,3,7438,Attchd,504,8,RL,0.0677601505781124
186,OldTown,1892,475000,3608,1Fam,2,4,22950,Detchd,1107,9,RM,0.04823529411764706
187,Mitchel,1990,173000,1217,1Fam,2,3,9947,Attchd,1188,5,RL,0.11943299487282598
188,OldTown,1916,135000,1656,1Fam,2,3,10410,Detchd,660,7,RL,0.06340057636887608
191,Crawfor,1932,315000,2727,1Fam,2,3,10570,Detchd,853,8,RL,0.08070009460737937
192,NAmes,1972,184000,1479,1Fam,1,4,7472,Attchd,725,9,RL,0.0970289079229122
193,CollgCr,1999,192000,1431,1Fam,2,3,9017,Attchd,1431,5,RL,0.15870023289342353
194,Edwards,2004,130000,1709,Twnhs,2,3,2522,Detchd,970,5,RM,0.38461538461538464
195,CollgCr,1972,127000,864,1Fam,1,3,7180,Detchd,864,7,RL,0.1203342618384401
196,NPkVill,1976,148500,1456,Twnhs,2,3,2280,Attchd,855,6,RL,0.375
197,Somerst,2007,311872,1726,1Fam,2,3,9416,Attchd,1726,5,RL,0.18330501274426508
198,NAmes,1918,235000,3112,1Fam,2,4,25419,Detchd,1360,4,RL,0.05350328494433298
200,NridgHt,2004,274900,1713,1Fam,2,3,9591,Attchd,1713,5,RL,0.17860494213324993
201,Edwards,2003,140000,1121,1Fam,2,2,8546,Attchd,1121,5,RM,0.13117247835244558
202,Mitchel,1977,171500,1279,1Fam,2,3,10125,Detchd,1196,6,RL,0.11812345679012345
203,OldTown,1924,112000,1310,1Fam,2,2,7000,Attchd,617,6,RL,0.08814285714285715
204,CollgCr,2004,149000,848,TwnhsE,1,1,4438,Attchd,848,5,RM,0.1910770617395223
205,OldTown,1947,110000,1284,1Fam,1,2,3500,Detchd,720,7,RM,0.2057142857142857
206,Gilbert,1990,180500,1442,1Fam,2,3,11851,Attchd,1424,5,RL,0.1201586364019914
207,Sawyer,1962,143900,1696,1Fam,1,3,13673,Attchd,1140,5,RL,0.08337599648943173
208,NAmes,1960,141000,1100,1Fam,1,3,12493,Attchd,1100,5,RL,0.08804930761226287
209,SawyerW,1988,277000,2062,1Fam,2,3,14364,Attchd,1157,5,RL,0.08054859370648844
210,NAmes,1964,145000,1092,1Fam,1,3,8250,Attchd,1092,7,RL,0.13236363636363635
212,Edwards,2009,186000,1212,1Fam,2,3,10420,Attchd,1212,5,RL,0.1163147792706334
213,Somerst,2009,252678,1852,1Fam,2,3,8640,Attchd,900,5,FV,0.10416666666666667
214,CollgCr,1995,156000,990,1Fam,1,3,13568,Attchd,990,5,RL,0.07296580188679246
215,CollgCr,1977,161750,1392,1Fam,1,3,10900,Attchd,689,7,RL,0.06321100917431192
216,NAmes,1957,134450,1236,1Fam,1,2,10011,Attchd,1070,6,RL,0.10688242932773949
217,CollgCr,2004,210000,1436,1Fam,2,3,8450,Attchd,1436,5,RL,0.16994082840236685
218,OldTown,1925,107000,1328,1Fam,1,3,9906,Detchd,686,4,RM,0.06925095901473854
219,Crawfor,1939,311500,1954,1Fam,1,3,15660,Attchd,798,9,RL,0.050957854406130265
220,Blmngtn,2005,167240,1248,TwnhsE,2,2,3010,Attchd,1248,5,RL,0.41461794019933557
221,CollgCr,2006,204900,1498,1Fam,2,2,8990,Attchd,1498,5,RL,0.16662958843159065
222,Gilbert,2002,200000,2267,1Fam,2,4,8068,BuiltIn,1010,5,RL,0.12518591968269707
223,NWAmes,1975,179900,1552,1Fam,2,3,11475,Attchd,713,6,RL,0.06213507625272331
224,NAmes,1971,97000,864,1Fam,1,2,10500,Detchd,864,6,RL,0.08228571428571428
225,NridgHt,2003,386250,2392,1Fam,2,3,13472,Attchd,2392,5,RL,0.17755344418052257
226,BrDale,1971,112000,1302,Twnhs,2,3,1680,Detchd,630,5,RM,0.375
227,NoRidge,1995,290000,2520,1Fam,2,4,9950,Attchd,1203,5,RL,0.12090452261306532
228,BrDale,1970,106000,987,Twnhs,1,2,1869,Detchd,483,6,RM,0.25842696629213485
229,Sawyer,1967,125000,912,1Fam,1,3,8521,Detchd,912,5,RL,0.10702969135078043
230,Blmngtn,2005,192500,1555,TwnhsE,2,2,3182,Attchd,1373,5,RL,0.43148962916404776
231,NAmes,1959,148000,1194,1Fam,1,3,8760,Attchd,1194,6,RL,0.1363013698630137
232,NoRidge,1995,403000,2794,1Fam,2,4,15138,Attchd,1462,5,RL,0.09657814770775532
233,BrDale,1972,94500,987,Twnhs,1,2,1680,Attchd,483,5,RM,0.2875
234,CollgCr,1976,128200,894,1Fam,1,3,10650,Attchd,894,6,RL,0.08394366197183098
235,Gilbert,2002,216500,1960,1Fam,2,4,7851,BuiltIn,860,5,RL,0.10954018596357153
236,BrDale,1971,89500,987,TwnhsE,1,2,1680,Detchd,483,3,RM,0.2875
237,CollgCr,2004,185500,1414,1Fam,2,3,8773,Attchd,1414,5,RL,0.1611763364869486
238,SawyerW,1993,194500,1744,1Fam,2,3,9453,Attchd,996,7,RL,0.10536337670580768
239,NridgHt,2007,318000,1694,1Fam,2,3,12030,Attchd,1694,5,RL,0.14081463009143808
240,Edwards,1945,113000,1487,1Fam,1,3,8741,Detchd,735,4,RL,0.08408648896007322
241,Somerst,2008,262500,1566,1Fam,2,3,9000,Attchd,1566,5,FV,0.174
243,OldTown,1900,79000,1440,1Fam,1,3,5000,Attchd,540,4,RM,0.108
244,SawyerW,1980,120000,1217,TwnhsE,1,3,10762,Attchd,626,6,RL,0.05816762683516075
245,SawyerW,1994,205000,2110,1Fam,2,3,8880,Attchd,948,5,RL,0.10675675675675676
246,NWAmes,1988,241500,1872,1Fam,2,3,10400,Attchd,1845,5,RL,0.17740384615384616
247,OldTown,1910,137000,1928,2fmCon,2,4,9142,Detchd,1020,8,RM,0.11157295996499672
248,NAmes,1954,140000,1375,1Fam,1,2,11310,Attchd,1367,5,RL,0.12086648983200707
249,CollgCr,2003,180000,1668,1Fam,2,3,11317,Attchd,840,5,RL,0.07422461783158081
252,Crawfor,2006,235000,1625,TwnhsE,2,2,4750,Attchd,1573,5,RM,0.3311578947368421
253,SawyerW,2004,173000,1640,1Fam,2,3,8366,Attchd,798,5,RL,0.09538608654076022
254,NAmes,1964,158000,1302,1Fam,2,3,9350,Attchd,1302,7,RL,0.13925133689839572
255,NAmes,1957,145000,1314,1Fam,1,3,8400,Attchd,1314,6,RL,0.15642857142857142
256,Gilbert,1999,230000,2291,1Fam,2,4,8738,BuiltIn,975,5,RL,0.11158159761959259
257,Somerst,2003,207500,1728,1Fam,2,3,8791,Attchd,864,5,FV,0.09828233420543737
258,CollgCr,2006,220000,1604,1Fam,2,3,8814,Attchd,1604,5,RL,0.1819832085318811
259,CollgCr,2001,231500,1792,1Fam,2,3,12435,Attchd,963,5,RL,0.07744270205066345
261,NAmes,1962,176000,1382,1Fam,1,3,19296,Attchd,1362,5,RL,0.07058457711442787
262,CollgCr,2007,276000,2574,1Fam,2,3,9588,BuiltIn,1482,5,RL,0.15456821026282855
263,Sawyer,1977,151000,1212,1Fam,1,3,8471,Attchd,506,7,RL,0.05973320741352851
264,OldTown,1929,130000,1316,1Fam,1,3,5500,Detchd,926,7,RM,0.16836363636363635
265,OldTown,1925,73000,764,1Fam,1,2,5232,Detchd,680,5,RM,0.12996941896024464
266,NWAmes,1981,175500,1422,1Fam,2,3,12090,Attchd,1422,6,RL,0.11761786600496278
267,Gilbert,1997,185000,1511,1Fam,2,3,11207,Attchd,802,5,RL,0.07156241634692603
268,SWISU,1939,179500,2192,1Fam,2,4,8400,Detchd,720,8,RL,0.08571428571428572
269,IDOTRR,1940,120500,778,1Fam,1,2,6900,Detchd,740,6,RM,0.1072463768115942
270,Edwards,1976,148000,1113,1Fam,1,3,7917,Attchd,1143,7,RL,0.14437286851079956
271,Somerst,2006,266000,1939,1Fam,2,3,10728,Attchd,1095,5,FV,0.10206935123042506
273,NoRidge,1999,290000,2270,1Fam,2,4,11764,Attchd,1152,7,RL,0.09792587555253315
274,NAmes,1958,139000,1632,1Fam,2,3,9600,Attchd,1240,6,RL,0.12916666666666668
275,Mitchel,1982,124500,816,1Fam,1,2,8314,Attchd,816,7,RL,0.09814770267019485
276,BrkSide,1925,205000,1548,1Fam,2,3,7264,Detchd,952,7,RL,0.13105726872246695
277,Mitchel,2003,201000,1560,1Fam,2,3,9196,Attchd,1560,5,RL,0.16963897346672466
278,Gilbert,1951,141000,864,1Fam,1,2,19138,Detchd,864,5,RL,0.04514578325843871
279,NridgHt,2006,415298,2121,1Fam,2,3,14450,Attchd,2121,5,RL,0.14678200692041524
280,ClearCr,1977,192000,2022,1Fam,2,4,10005,Attchd,1160,5,RL,0.11594202898550725
281,SawyerW,1989,228500,1982,1Fam,2,3,11287,Attchd,807,6,RL,0.07149818375121822
282,Somerst,2006,185000,1262,1Fam,2,2,7200,Attchd,1262,5,FV,0.17527777777777778
283,NridgHt,2007,207500,1314,Twnhs,2,2,5063,Attchd,1314,5,RL,0.2595299229705708
284,Somerst,2008,244600,1468,1Fam,2,3,9612,Attchd,1468,5,RL,0.1527257594673325
285,SawyerW,1992,179200,1575,TwnhsE,2,2,8012,Attchd,1575,5,RL,0.19658012980529208
286,Somerst,2006,164700,1250,TwnhsE,2,2,4251,Detchd,625,5,FV,0.14702422959303693
287,NAmes,1962,159000,1734,1Fam,1,3,9786,Attchd,912,7,RL,0.0931943592887799
289,Sawyer,1967,122000,900,1Fam,1,3,9819,Detchd,882,5,RL,0.08982584784601283
290,BrkSide,1915,153575,1396,1Fam,1,3,8730,Detchd,698,7,RL,0.07995418098510881
291,CollgCr,2006,233230,1919,1Fam,2,3,15611,Attchd,1079,5,RL,0.06911792966497982
293,Edwards,1949,131000,1716,1Fam,1,3,11409,Attchd,768,4,RL,0.06731527741256903
294,NWAmes,1977,235000,2263,1Fam,2,3,16659,Attchd,795,7,RL,0.047721952097965065
295,NAmes,1953,167000,1644,1Fam,1,3,9600,Attchd,1416,5,RL,0.1475
296,Mitchel,1984,142500,1003,1Fam,1,3,7937,Detchd,1003,6,RL,0.12637016504976692
297,IDOTRR,1950,152000,1558,1Fam,1,4,13710,Attchd,910,5,RM,0.06637490882567469
298,Somerst,1997,239000,1950,1Fam,2,3,7399,Detchd,975,5,FV,0.13177456413028787
299,NWAmes,1968,175000,1743,1Fam,1,3,11700,Attchd,702,6,RL,0.06
300,Crawfor,1950,158500,1152,1Fam,1,3,14000,Attchd,1092,8,RL,0.078
301,Crawfor,1953,157000,1336,2fmCon,1,2,15750,Attchd,1165,5,RL,0.07396825396825397
302,CollgCr,1998,267000,2452,1Fam,2,4,16226,BuiltIn,1028,5,RL,0.06335510908418587
303,CollgCr,2001,205000,1541,1Fam,2,3,13704,Attchd,1541,5,RL,0.11244892002335084
304,CollgCr,1972,149900,894,1Fam,1,3,9800,Attchd,894,7,RL,0.09122448979591836
305,OldTown,1880,295000,3493,1Fam,3,3,18386,Attchd,1470,9,RM,0.07995213749592081
306,CollgCr,2004,305900,2000,1Fam,2,3,10386,Attchd,2000,5,RL,0.19256691700365877
307,SawyerW,1990,225000,2243,1Fam,2,4,13474,Attchd,700,5,RL,0.05195190737717085
309,Edwards,1940,82500,861,1Fam,1,1,12342,Detchd,861,5,RL,0.06976178901312591
